nctid,stop_date,stop_status,restart_date,restart_status,why_stopped
NCT05442294,NA,NA,NA,NA,NA
NCT05442281,NA,NA,NA,NA,NA
NCT05442268,NA,NA,NA,NA,NA
NCT05442229,NA,NA,NA,NA,NA
NCT05442216,NA,NA,NA,NA,NA
NCT05442203,NA,NA,NA,NA,NA
NCT05442190,NA,NA,NA,NA,NA
NCT05442177,NA,NA,NA,NA,NA
NCT05442151,NA,NA,NA,NA,NA
NCT05442138,NA,NA,NA,NA,NA
NCT05442112,NA,NA,NA,NA,NA
NCT05442099,NA,NA,NA,NA,NA
NCT05442086,NA,NA,NA,NA,NA
NCT05442073,NA,NA,NA,NA,NA
NCT05442060,NA,NA,NA,NA,NA
NCT05442047,NA,NA,NA,NA,NA
NCT05442021,NA,NA,NA,NA,NA
NCT05442008,NA,NA,NA,NA,NA
NCT05441995,NA,NA,NA,NA,NA
NCT05441956,NA,NA,NA,NA,NA
NCT05441943,NA,NA,NA,NA,NA
NCT05441930,NA,NA,NA,NA,NA
NCT05441917,NA,NA,NA,NA,NA
NCT05441904,NA,NA,NA,NA,NA
NCT05441891,NA,NA,NA,NA,NA
NCT05441878,NA,NA,NA,NA,NA
NCT05441865,NA,NA,NA,NA,NA
NCT05441852,NA,NA,NA,NA,NA
NCT05441839,NA,NA,NA,NA,NA
NCT05441826,NA,NA,NA,NA,NA
NCT05441800,NA,NA,NA,NA,NA
NCT05441787,NA,NA,NA,NA,NA
NCT05441774,NA,NA,NA,NA,NA
NCT05441761,NA,NA,NA,NA,NA
NCT05441748,NA,NA,NA,NA,NA
NCT05441735,NA,NA,NA,NA,NA
NCT05441722,NA,NA,NA,NA,NA
NCT05441709,NA,NA,NA,NA,NA
NCT05441696,NA,NA,NA,NA,NA
NCT05441683,NA,NA,NA,NA,NA
NCT05441670,NA,NA,NA,NA,NA
NCT05441657,NA,NA,NA,NA,NA
NCT05441644,NA,NA,NA,NA,NA
NCT05441631,NA,NA,NA,NA,NA
NCT05441618,NA,NA,NA,NA,NA
NCT05441605,NA,NA,NA,NA,NA
NCT05441592,NA,NA,NA,NA,NA
NCT05441579,NA,NA,NA,NA,NA
NCT05441566,NA,NA,NA,NA,NA
NCT05441553,NA,NA,NA,NA,NA
NCT05441540,NA,NA,NA,NA,NA
NCT05441527,NA,NA,NA,NA,NA
NCT05441514,NA,NA,NA,NA,NA
NCT05441475,NA,NA,NA,NA,NA
NCT05441462,NA,NA,NA,NA,NA
NCT05441449,NA,NA,NA,NA,NA
NCT05441436,NA,NA,NA,NA,NA
NCT05441423,NA,NA,NA,NA,NA
NCT05441410,NA,NA,NA,NA,NA
NCT05441397,NA,NA,NA,NA,NA
NCT05441384,NA,NA,NA,NA,NA
NCT05441371,NA,NA,NA,NA,NA
NCT05441358,NA,NA,NA,NA,NA
NCT05441345,NA,NA,NA,NA,NA
NCT05441332,NA,NA,NA,NA,NA
NCT05441306,NA,NA,NA,NA,NA
NCT05441293,NA,NA,NA,NA,NA
NCT05441280,NA,NA,NA,NA,NA
NCT05441241,NA,NA,NA,NA,NA
NCT05441228,NA,NA,NA,NA,NA
NCT05441215,NA,NA,NA,NA,NA
NCT05441202,NA,NA,NA,NA,NA
NCT05441176,NA,NA,NA,NA,NA
NCT05441137,NA,NA,NA,NA,NA
NCT05441111,NA,NA,NA,NA,NA
NCT05441098,NA,NA,NA,NA,NA
NCT05441085,NA,NA,NA,NA,NA
NCT05441072,NA,NA,NA,NA,NA
NCT05441059,NA,NA,NA,NA,NA
NCT05441033,NA,NA,NA,NA,NA
NCT05441020,NA,NA,NA,NA,NA
NCT05441007,NA,NA,NA,NA,NA
NCT05440994,NA,NA,NA,NA,NA
NCT05440981,NA,NA,NA,NA,NA
NCT05440955,NA,NA,NA,NA,NA
NCT05440942,NA,NA,NA,NA,NA
NCT05440929,NA,NA,NA,NA,NA
NCT05440916,NA,NA,NA,NA,NA
NCT05440903,NA,NA,NA,NA,NA
NCT05440890,NA,NA,NA,NA,NA
NCT05440877,NA,NA,NA,NA,NA
NCT05440864,NA,NA,NA,NA,NA
NCT05440851,NA,NA,NA,NA,NA
NCT05440838,NA,NA,NA,NA,NA
NCT05440812,NA,NA,NA,NA,NA
NCT05440799,NA,NA,NA,NA,NA
NCT05440786,NA,NA,NA,NA,NA
NCT05440773,NA,NA,NA,NA,NA
NCT05440747,NA,NA,NA,NA,NA
NCT05440734,NA,NA,NA,NA,NA
NCT05440721,2022-06-27,Withdrawn,NA,NA,Change of company's priority; learning from a separate CT-101-CLS-001 (NCT04857515) is deemed sufficient
NCT05440695,NA,NA,NA,NA,NA
NCT05440682,NA,NA,NA,NA,NA
NCT05440669,NA,NA,NA,NA,NA
NCT05440630,NA,NA,NA,NA,NA
NCT05440591,NA,NA,NA,NA,NA
NCT05440578,NA,NA,NA,NA,NA
NCT05440565,NA,NA,NA,NA,NA
NCT05440552,NA,NA,NA,NA,NA
NCT05440539,NA,NA,NA,NA,NA
NCT05440526,NA,NA,NA,NA,NA
NCT05440500,NA,NA,NA,NA,NA
NCT05440487,NA,NA,NA,NA,NA
NCT05440474,NA,NA,NA,NA,NA
NCT05440461,NA,NA,NA,NA,NA
NCT05440448,NA,NA,NA,NA,NA
NCT05440435,NA,NA,NA,NA,NA
NCT05440370,NA,NA,NA,NA,NA
NCT05440344,NA,NA,NA,NA,NA
NCT05440331,NA,NA,NA,NA,NA
NCT05440318,NA,NA,NA,NA,NA
NCT05440305,NA,NA,NA,NA,NA
NCT05440292,NA,NA,NA,NA,NA
NCT05440279,NA,NA,NA,NA,NA
NCT05440266,NA,NA,NA,NA,NA
NCT05440253,NA,NA,NA,NA,NA
NCT05440227,NA,NA,NA,NA,NA
NCT05440214,NA,NA,NA,NA,NA
NCT05440201,NA,NA,NA,NA,NA
NCT05440175,NA,NA,NA,NA,NA
NCT05440162,NA,NA,NA,NA,NA
NCT05440136,NA,NA,NA,NA,NA
NCT05440123,NA,NA,NA,NA,NA
NCT05440097,NA,NA,NA,NA,NA
NCT05440071,NA,NA,NA,NA,NA
NCT05440058,NA,NA,NA,NA,NA
NCT05440045,NA,NA,NA,NA,NA
NCT05440032,NA,NA,NA,NA,NA
NCT05440006,NA,NA,NA,NA,NA
NCT05439954,NA,NA,NA,NA,NA
NCT05439941,NA,NA,NA,NA,NA
NCT05439928,NA,NA,NA,NA,NA
NCT05439902,NA,NA,NA,NA,NA
NCT05439889,NA,NA,NA,NA,NA
NCT05439863,NA,NA,NA,NA,NA
NCT05439850,NA,NA,NA,NA,NA
NCT05439837,NA,NA,NA,NA,NA
NCT05439798,NA,NA,NA,NA,NA
NCT05439785,NA,NA,NA,NA,NA
NCT05439772,NA,NA,NA,NA,NA
NCT05439746,NA,NA,NA,NA,NA
NCT05439733,NA,NA,NA,NA,NA
NCT05439720,NA,NA,NA,NA,NA
NCT05439707,NA,NA,NA,NA,NA
NCT05439681,NA,NA,NA,NA,NA
NCT05439668,NA,NA,NA,NA,NA
NCT05439655,NA,NA,NA,NA,NA
