nctid,why_stopped,covid19_explicit,restart_expected
NCT02254239,funding withdrawal,FALSE,NA
NCT04199806,This is a retrospective study reviewing subject questionnaires. No treatments will be administered in this study.,FALSE,NA
NCT04208451,All required data are already collected.,FALSE,NA
NCT04258423,Study was larger than expected and became a burden to faculty and staff resources.,FALSE,NA
NCT03770312,"It was needed to change the study design, and further progress was impossible. In this regard, we decided to terminate the study.",FALSE,NA
NCT02477774,Lapse in IRB approval,FALSE,NA
NCT03527225,Data analysis in process; pending results required to confirm target accrual needed.,FALSE,NA
NCT04317001,Researcher leading the study moved institutions study not feasible,FALSE,NA
NCT04322253,The cessation of the development project for neladenoson bialanate.,FALSE,NA
NCT04321434,Futility,FALSE,NA
NCT04320771,Termination of the development project for Neladenoson bialanate,FALSE,NA
NCT04326231,COVID and the Study was withdrawn (limited recruitment within study timeline),TRUE,FALSE
NCT03138369,High drop out rate due to subjects needing to record details of every meal,FALSE,NA
NCT03093272,Safety concerns,FALSE,NA
NCT03915535,Several impacts of COVID-19 on recruitment and organization,TRUE,FALSE
NCT03123822,Not enough interest/participants. Recruitment was more difficult due to pandemic,TRUE,FALSE
NCT03995927,"PI decision, technical events unrelated to study slowing down the process and ability to accrue",FALSE,NA
NCT03077698,The study was discontinued due to a change in development strategy and not due safety concern.,FALSE,NA
NCT02271516,Some concerns arose for the accumulation of radioactivity in liver and spleen.,FALSE,NA
NCT03365752,Study halted due to COVID-19 pandemic and terminated early per request of principal investigator as Chloroprocaine use in spinal procedures has become incorporated as standard of care at HSS.,TRUE,FALSE
NCT03237611,PI halted study until IRB issues are addressed.,FALSE,NA
NCT04513158,Newly reported data at the time indicated that alternative therapies were more effective than CP for early treatment of high-risk patients with COVID-19.,FALSE,NA
NCT03904108,insufficient patient population to complete trial as planned,FALSE,NA
NCT03262116,Devices are not available,FALSE,NA
NCT03308786,There were 3 instances of adverse events which were discussed with external safety monitoring committee and it was recommended that the study be terminated.,FALSE,NA
NCT02828787,End of the inclusion period. A late start of inclusions and reduced scanner availability meant that the number of 45 participants could not be reached.,FALSE,NA
NCT01280565,Sponsor decision based on portfolio prioritization,FALSE,NA
NCT04354428,Low number of events contributing to primary outcome,FALSE,NA
NCT03895437,The DSMB concluded that there was a low probability the study would meet it is primary endpoint as designed.,FALSE,NA
NCT01614925,Due to change in strategy and decision not to expand indication.,FALSE,NA
NCT04047849,Limited study accrual within the anticipated study time frame. Minimal study accrual secondary to rare incidence of the clinical entity studied.,FALSE,NA
NCT03462576,Sponsor of Trial decision,FALSE,NA
NCT03547700,Lack of accrual,FALSE,NA
NCT03041311,Primary Analysis and survival follow up completed per protocol. Not stopped due to safety concerns.,FALSE,NA
