nctid,stop_date,stop_status,restart_date,restart_status,why_stopped
NCT05365035,NA,NA,NA,NA,NA
NCT05365022,NA,NA,NA,NA,NA
NCT05365009,NA,NA,NA,NA,NA
NCT05364996,NA,NA,NA,NA,NA
NCT05364983,NA,NA,NA,NA,NA
NCT05364970,NA,NA,NA,NA,NA
NCT05364957,NA,NA,NA,NA,NA
NCT05364944,NA,NA,NA,NA,NA
NCT05364931,NA,NA,NA,NA,NA
NCT05364918,NA,NA,NA,NA,NA
NCT05364905,NA,NA,NA,NA,NA
NCT05364892,NA,NA,NA,NA,NA
NCT05364879,NA,NA,NA,NA,NA
NCT05364866,NA,NA,NA,NA,NA
NCT05364853,NA,NA,NA,NA,NA
NCT05364840,NA,NA,NA,NA,NA
NCT05364827,NA,NA,NA,NA,NA
NCT05364814,NA,NA,NA,NA,NA
NCT05364801,NA,NA,NA,NA,NA
NCT05364788,NA,NA,NA,NA,NA
NCT05364775,NA,NA,NA,NA,NA
NCT05364762,NA,NA,NA,NA,NA
NCT05364749,NA,NA,NA,NA,NA
NCT05364736,NA,NA,NA,NA,NA
NCT05364723,NA,NA,NA,NA,NA
NCT05364710,NA,NA,NA,NA,NA
NCT05364697,NA,NA,NA,NA,NA
NCT05364684,NA,NA,NA,NA,NA
NCT05364671,NA,NA,NA,NA,NA
NCT05364658,NA,NA,NA,NA,NA
NCT05364645,NA,NA,NA,NA,NA
NCT05364632,NA,NA,NA,NA,NA
NCT05364619,NA,NA,NA,NA,NA
NCT05364606,NA,NA,NA,NA,NA
NCT05364593,NA,NA,NA,NA,NA
NCT05364580,NA,NA,NA,NA,NA
NCT05364567,NA,NA,NA,NA,NA
NCT05364554,NA,NA,NA,NA,NA
NCT05364541,NA,NA,NA,NA,NA
NCT05364528,NA,NA,NA,NA,NA
NCT05364515,NA,NA,NA,NA,NA
NCT05364502,NA,NA,NA,NA,NA
NCT05364489,NA,NA,NA,NA,NA
NCT05364476,NA,NA,NA,NA,NA
NCT05364463,NA,NA,NA,NA,NA
NCT05364450,NA,NA,NA,NA,NA
NCT05364437,NA,NA,NA,NA,NA
NCT05364424,NA,NA,NA,NA,NA
NCT05364411,NA,NA,NA,NA,NA
NCT05364398,NA,NA,NA,NA,NA
NCT05364385,NA,NA,NA,NA,NA
NCT05364372,NA,NA,NA,NA,NA
NCT05364359,NA,NA,NA,NA,NA
NCT05364346,NA,NA,NA,NA,NA
NCT05364333,NA,NA,NA,NA,NA
NCT05364320,NA,NA,NA,NA,NA
NCT05364307,NA,NA,NA,NA,NA
NCT05364294,NA,NA,NA,NA,NA
NCT05364281,NA,NA,NA,NA,NA
NCT05364268,NA,NA,NA,NA,NA
NCT05364255,NA,NA,NA,NA,NA
NCT05364242,NA,NA,NA,NA,NA
NCT05364229,NA,NA,NA,NA,NA
NCT05364216,NA,NA,NA,NA,NA
NCT05364203,NA,NA,NA,NA,NA
NCT05364190,NA,NA,NA,NA,NA
NCT05364177,NA,NA,NA,NA,NA
NCT05364164,NA,NA,NA,NA,NA
NCT05364151,NA,NA,NA,NA,NA
NCT05364138,NA,NA,NA,NA,NA
NCT05364125,NA,NA,NA,NA,NA
NCT05364112,NA,NA,NA,NA,NA
NCT05364099,NA,NA,NA,NA,NA
NCT05364086,NA,NA,NA,NA,NA
NCT05364073,NA,NA,NA,NA,NA
NCT05364060,NA,NA,NA,NA,NA
NCT05364047,NA,NA,NA,NA,NA
NCT05364034,NA,NA,NA,NA,NA
NCT05364021,NA,NA,NA,NA,NA
NCT05364008,NA,NA,NA,NA,NA
NCT05363995,NA,NA,NA,NA,NA
NCT05363982,NA,NA,NA,NA,NA
NCT05363969,NA,NA,NA,NA,NA
NCT05363956,NA,NA,NA,NA,NA
NCT05363943,NA,NA,NA,NA,NA
NCT05363930,NA,NA,NA,NA,NA
NCT05363917,NA,NA,NA,NA,NA
NCT05363904,NA,NA,NA,NA,NA
NCT05363891,NA,NA,NA,NA,NA
NCT05363878,NA,NA,NA,NA,NA
NCT05363865,NA,NA,NA,NA,NA
NCT05363852,NA,NA,NA,NA,NA
NCT05363839,NA,NA,NA,NA,NA
NCT05363826,NA,NA,NA,NA,NA
NCT05363813,NA,NA,NA,NA,NA
NCT05363800,NA,NA,NA,NA,NA
NCT05363787,NA,NA,NA,NA,NA
NCT05363774,NA,NA,NA,NA,NA
NCT05363761,NA,NA,NA,NA,NA
NCT05363748,NA,NA,NA,NA,NA
NCT05363735,NA,NA,NA,NA,NA
NCT05363722,NA,NA,NA,NA,NA
NCT05363709,NA,NA,NA,NA,NA
NCT05363696,NA,NA,NA,NA,NA
NCT05363683,NA,NA,NA,NA,NA
NCT05363670,NA,NA,NA,NA,NA
NCT05363657,NA,NA,NA,NA,NA
NCT05363644,NA,NA,NA,NA,NA
NCT05363631,NA,NA,NA,NA,NA
NCT05363618,NA,NA,NA,NA,NA
NCT05363605,NA,NA,NA,NA,NA
NCT05363592,NA,NA,NA,NA,NA
NCT05363579,NA,NA,NA,NA,NA
NCT05363566,NA,NA,NA,NA,NA
NCT05363553,NA,NA,NA,NA,NA
NCT05363540,NA,NA,NA,NA,NA
NCT05363527,NA,NA,NA,NA,NA
NCT05363514,NA,NA,NA,NA,NA
NCT05363501,NA,NA,NA,NA,NA
NCT05363488,NA,NA,NA,NA,NA
NCT05363475,NA,NA,NA,NA,NA
NCT05363462,NA,NA,NA,NA,NA
NCT05363449,NA,NA,NA,NA,NA
NCT05363436,NA,NA,NA,NA,NA
NCT05363423,NA,NA,NA,NA,NA
NCT05363410,NA,NA,NA,NA,NA
NCT05363397,NA,NA,NA,NA,NA
NCT05363384,NA,NA,NA,NA,NA
NCT05363371,NA,NA,NA,NA,NA
NCT05363358,NA,NA,NA,NA,NA
NCT05363345,NA,NA,NA,NA,NA
NCT05363332,NA,NA,NA,NA,NA
NCT05363319,NA,NA,NA,NA,NA
NCT05363306,NA,NA,NA,NA,NA
NCT05363293,NA,NA,NA,NA,NA
NCT05363280,NA,NA,NA,NA,NA
NCT05363267,NA,NA,NA,NA,NA
NCT05363254,NA,NA,NA,NA,NA
NCT05363241,NA,NA,NA,NA,NA
NCT05363228,NA,NA,NA,NA,NA
NCT05363215,NA,NA,NA,NA,NA
NCT05363202,NA,NA,NA,NA,NA
NCT05363189,NA,NA,NA,NA,NA
NCT05363176,NA,NA,NA,NA,NA
NCT05363163,NA,NA,NA,NA,NA
NCT05363150,NA,NA,NA,NA,NA
NCT05363137,NA,NA,NA,NA,NA
NCT05363124,NA,NA,NA,NA,NA
NCT05363111,NA,NA,NA,NA,NA
NCT05363098,NA,NA,NA,NA,NA
NCT05363085,NA,NA,NA,NA,NA
NCT05363072,NA,NA,NA,NA,NA
NCT05363059,NA,NA,NA,NA,NA
NCT05363046,NA,NA,NA,NA,NA
NCT05363033,NA,NA,NA,NA,NA
NCT05363020,NA,NA,NA,NA,NA
NCT05363007,NA,NA,NA,NA,NA
NCT05362994,NA,NA,NA,NA,NA
NCT05362981,NA,NA,NA,NA,NA
NCT05362968,NA,NA,NA,NA,NA
NCT05362955,NA,NA,NA,NA,NA
NCT05362942,NA,NA,NA,NA,NA
NCT05362929,NA,NA,NA,NA,NA
NCT05362916,NA,NA,NA,NA,NA
NCT05362903,NA,NA,NA,NA,NA
NCT05362890,NA,NA,NA,NA,NA
NCT05362877,NA,NA,NA,NA,NA
NCT05362864,NA,NA,NA,NA,NA
NCT05362851,NA,NA,NA,NA,NA
NCT05362838,NA,NA,NA,NA,NA
NCT05362825,NA,NA,NA,NA,NA
NCT05362812,NA,NA,NA,NA,NA
NCT05362799,NA,NA,NA,NA,NA
NCT05362786,NA,NA,NA,NA,NA
NCT05362773,NA,NA,NA,NA,NA
NCT05362760,NA,NA,NA,NA,NA
NCT05362747,NA,NA,NA,NA,NA
NCT05362734,NA,NA,NA,NA,NA
NCT05362721,NA,NA,NA,NA,NA
NCT05362708,NA,NA,NA,NA,NA
NCT05362695,NA,NA,NA,NA,NA
NCT05362682,NA,NA,NA,NA,NA
NCT05362669,NA,NA,NA,NA,NA
NCT05362656,NA,NA,NA,NA,NA
NCT05362643,NA,NA,NA,NA,NA
NCT05362630,NA,NA,NA,NA,NA
NCT05362617,NA,NA,NA,NA,NA
NCT05362604,NA,NA,NA,NA,NA
NCT05362591,NA,NA,NA,NA,NA
NCT05362578,NA,NA,NA,NA,NA
NCT05362565,NA,NA,NA,NA,NA
NCT05362552,NA,NA,NA,NA,NA
NCT05362539,NA,NA,NA,NA,NA
NCT05362526,NA,NA,NA,NA,NA
NCT05362513,NA,NA,NA,NA,NA
NCT05362500,NA,NA,NA,NA,NA
NCT05362487,NA,NA,NA,NA,NA
NCT05362474,NA,NA,NA,NA,NA
NCT05362461,NA,NA,NA,NA,NA
NCT05362435,NA,NA,NA,NA,NA
NCT05362422,NA,NA,NA,NA,NA
NCT05362409,NA,NA,NA,NA,NA
NCT05362396,NA,NA,NA,NA,NA
NCT05362383,NA,NA,NA,NA,NA
NCT05362370,NA,NA,NA,NA,NA
NCT05362357,NA,NA,NA,NA,NA
NCT05362344,NA,NA,NA,NA,NA
NCT05362331,NA,NA,NA,NA,NA
NCT05362318,NA,NA,NA,NA,NA
NCT05362305,NA,NA,NA,NA,NA
NCT05362292,NA,NA,NA,NA,NA
NCT05362279,NA,NA,NA,NA,NA
NCT05362266,NA,NA,NA,NA,NA
NCT05362253,NA,NA,NA,NA,NA
NCT05362240,NA,NA,NA,NA,NA
NCT05362227,NA,NA,NA,NA,NA
NCT05362214,NA,NA,NA,NA,NA
NCT05362201,NA,NA,NA,NA,NA
NCT05362188,NA,NA,NA,NA,NA
NCT05362175,NA,NA,NA,NA,NA
NCT05362162,NA,NA,NA,NA,NA
NCT05362149,NA,NA,NA,NA,NA
NCT05362136,NA,NA,NA,NA,NA
NCT05362123,NA,NA,NA,NA,NA
NCT05362110,NA,NA,NA,NA,NA
NCT05362097,NA,NA,NA,NA,NA
NCT05362084,NA,NA,NA,NA,NA
NCT05362071,NA,NA,NA,NA,NA
NCT05362058,NA,NA,NA,NA,NA
NCT05362045,NA,NA,NA,NA,NA
NCT05362032,NA,NA,NA,NA,NA
NCT05362019,NA,NA,NA,NA,NA
NCT05362006,NA,NA,NA,NA,NA
NCT05361993,NA,NA,NA,NA,NA
NCT05361980,NA,NA,NA,NA,NA
NCT05361967,NA,NA,NA,NA,NA
NCT05361954,NA,NA,NA,NA,NA
NCT05361941,NA,NA,NA,NA,NA
NCT05361928,NA,NA,NA,NA,NA
NCT05361915,NA,NA,NA,NA,NA
NCT05361902,NA,NA,NA,NA,NA
NCT05361889,NA,NA,NA,NA,NA
NCT05361876,NA,NA,NA,NA,NA
NCT05361863,NA,NA,NA,NA,NA
NCT05361850,NA,NA,NA,NA,NA
NCT05361837,NA,NA,NA,NA,NA
