nctid,stop_date,stop_status,restart_date,restart_status,why_stopped
NCT05375643,NA,NA,NA,NA,NA
NCT05375630,NA,NA,NA,NA,NA
NCT05375617,NA,NA,NA,NA,NA
NCT05375604,NA,NA,NA,NA,NA
NCT05375591,NA,NA,NA,NA,NA
NCT05375578,NA,NA,NA,NA,NA
NCT05375565,NA,NA,NA,NA,NA
NCT05375552,NA,NA,NA,NA,NA
NCT05375539,NA,NA,NA,NA,NA
NCT05375526,NA,NA,NA,NA,NA
NCT05375513,NA,NA,NA,NA,NA
NCT05375500,NA,NA,NA,NA,NA
NCT05375487,NA,NA,NA,NA,NA
NCT05375474,NA,NA,NA,NA,NA
NCT05375461,NA,NA,NA,NA,NA
NCT05375448,NA,NA,NA,NA,NA
NCT05375435,NA,NA,NA,NA,NA
NCT05375422,NA,NA,NA,NA,NA
NCT05375409,NA,NA,NA,NA,NA
NCT05375396,NA,NA,NA,NA,NA
NCT05375383,NA,NA,NA,NA,NA
NCT05375370,NA,NA,NA,NA,NA
NCT05375357,NA,NA,NA,NA,NA
NCT05375344,NA,NA,NA,NA,NA
NCT05375331,NA,NA,NA,NA,NA
NCT05375318,NA,NA,NA,NA,NA
NCT05375305,NA,NA,NA,NA,NA
NCT05375292,NA,NA,NA,NA,NA
NCT05375279,NA,NA,NA,NA,NA
NCT05375266,NA,NA,NA,NA,NA
NCT05375253,NA,NA,NA,NA,NA
NCT05375240,NA,NA,NA,NA,NA
NCT05375227,NA,NA,NA,NA,NA
NCT05375214,NA,NA,NA,NA,NA
NCT05375201,NA,NA,NA,NA,NA
NCT05375188,NA,NA,NA,NA,NA
NCT05375175,NA,NA,NA,NA,NA
NCT05375162,NA,NA,NA,NA,NA
NCT05375149,NA,NA,NA,NA,NA
NCT05375136,NA,NA,NA,NA,NA
NCT05375123,NA,NA,NA,NA,NA
NCT05375110,NA,NA,NA,NA,NA
NCT05375097,NA,NA,NA,NA,NA
NCT05375084,NA,NA,NA,NA,NA
NCT05375071,NA,NA,NA,NA,NA
NCT05375058,NA,NA,NA,NA,NA
NCT05375045,NA,NA,NA,NA,NA
NCT05375032,NA,NA,NA,NA,NA
NCT05375019,NA,NA,NA,NA,NA
NCT05375006,NA,NA,NA,NA,NA
NCT05374993,NA,NA,NA,NA,NA
NCT05374980,NA,NA,NA,NA,NA
NCT05374967,NA,NA,NA,NA,NA
NCT05374954,NA,NA,NA,NA,NA
NCT05374941,NA,NA,NA,NA,NA
NCT05374928,NA,NA,NA,NA,NA
NCT05374915,NA,NA,NA,NA,NA
NCT05374902,NA,NA,NA,NA,NA
NCT05374889,NA,NA,NA,NA,NA
NCT05374876,NA,NA,NA,NA,NA
NCT05374863,NA,NA,NA,NA,NA
NCT05374850,NA,NA,NA,NA,NA
NCT05374837,NA,NA,NA,NA,NA
NCT05374824,NA,NA,NA,NA,NA
