nctid,why_stopped,covid19_explicit,restart_expected
NCT05329168,business decision before FPFV; not related to any safety concerns,FALSE,NA
NCT05330013,PI left NIH,FALSE,NA
NCT05393089,Business Decision,FALSE,NA
NCT05434936,Temporary protocol lapse,FALSE,NA
NCT05440721,Change of company's priority; learning from a separate CT-101-CLS-001 (NCT04857515) is deemed sufficient,FALSE,NA
NCT05250583,Low accrual rate,FALSE,NA
NCT04989972,GCP VIOLATIONS FROM THE SPONSORS,FALSE,NA
NCT04992078,Study has been early terminated due to change of study protocol and study will be commence with new protocol and study number,FALSE,NA
NCT04996056,Not able to recruit qualified participants,FALSE,NA
NCT05065437,No IRB application has been prepared for this study and other studies have taken priority. The study team will not be working on this study for the foreseeable future.,FALSE,NA
NCT05067244,Study activities on hold under directive of regulatory body to update study procedures,FALSE,NA
NCT05146882,Update to Program Design - No Participants Enrolled,FALSE,NA
NCT05182216,We are awaiting IRB approval,FALSE,NA
NCT05225818,Our study design changed,FALSE,NA
NCT04950504,Lagging Enrollment. Opened a separate study.,FALSE,NA
NCT04677829,"The study was terminated due to administrative, non-safety related reasons.",FALSE,NA
NCT04704011,Trial was not funded.,FALSE,NA
NCT04709679,Dose was not therapeudic,FALSE,NA
NCT04715763,Poor recruitment due to decrease in COVID-19 rates locally,FALSE,NA
NCT04747275,Transitioned to multi site study with sponsor,FALSE,NA
NCT04762823,The PI (Post-Doc Craig Workman) left the university.,FALSE,NA
NCT04810689,Futile Enrollment,FALSE,NA
NCT04861441,"House staff unable to follow protocol due to short staffing, turnover, and travel nursing.",FALSE,NA
NCT04870801,The project was denied funding and the protocol was subsequently closed. No participants were enrolled.,FALSE,NA
NCT04891913,The sponsor decided to suspend the process,FALSE,NA
NCT04892823,low accrual,FALSE,NA
NCT04895046,Funder decision,FALSE,NA
NCT04941378,Due to sponsor request,FALSE,NA
NCT04556383,Study terminated due to lack of treatment benefit.,FALSE,NA
NCT04614701,"The co and principal investigator, due to limited resources and timing, have decided to withdrawal the study and close.",FALSE,NA
NCT02484937,Recruitment issues,FALSE,NA
NCT02529696,"Low enrollment, unable to power adequately",FALSE,NA
NCT02562612,Study was never initiated. Never established sites or enrolled subjects.,FALSE,NA
NCT02606799,No further recruitment possible due to changed conditions,FALSE,NA
NCT02663908,"Recruitment rate; a lower than anticipated observed cardiovascular event rate. The Sponsor decision to stop the trial was not based on any safety concerns or any knowledge of the results, or influenced by issues imposed by the COVID-19 pandemic.",FALSE,NA
NCT02674945,"Low enrollment, unable to power adequately",FALSE,NA
NCT02755948,Study objectives have been met.,FALSE,NA
NCT02777762,Lack of resources,FALSE,NA
NCT02948712,Slow Accrual,FALSE,NA
NCT03059355,COVID-19 Pandemic and lack of funding,TRUE,FALSE
NCT03205137,Sponsor decision,FALSE,NA
NCT03355274,Inclusion period not prolonged,FALSE,NA
NCT03400956,"Due to a change in the development program, the study was closed prematurely.",FALSE,NA
NCT03421756,Trial terminated due to low rate of enrollment,FALSE,NA
NCT03435640,Based on the overall results from the Phase 1 part of the study the sponsor decided to end the study. The decision was not due to safety reasons.,FALSE,NA
NCT03508258,Study was discontinued in 2018 as sufficient sample size was not met.,FALSE,NA
NCT03549351,Study turned out no longer feasible,FALSE,NA
NCT03550352,expiration of study product; end of study product availability,FALSE,NA
NCT03584009,"Sponsor's decision, no safety concerns.",FALSE,NA
NCT03634683,Major changes in manufacturing process and investigational product,FALSE,NA
NCT03636958,"concomitant decision of the sponsor and the PI, lack of patients",FALSE,NA
NCT03649321,Funding was terminated early because research interests were going in a different direction.,FALSE,NA
NCT03698448,Determined not feasible,FALSE,NA
NCT03891602,Closed to Enrollment Data Analysis Only. Recruitment was conducted at Kaiser Permanente and there were no MSK patients recruited,FALSE,NA
NCT03940300,The study was terminated due to a change in priorities at the host organization and the end of the grant period of support.,FALSE,NA
NCT03957226,Study was not sufficiently funded. No enrollment took place.,FALSE,NA
NCT03963960,Logistical difficulties in the department due to a lack of paramedical staff and dialysis space.,FALSE,NA
NCT04032444,Sponsor terminated. No longer needed to support business need,FALSE,NA
NCT04043377,Financial issues,FALSE,NA
NCT04093505,Study turned out no longer feasible. End of Recruitment: 25.5.2022,FALSE,NA
NCT04100590,"During a piloting phase with our staff, the technology/eye-tracking device did not collect outcomes as expected.",FALSE,NA
NCT04141423,Part 1 completed. Part 2 not initiated,FALSE,NA
NCT04176185,COVID-19,TRUE,FALSE
NCT04180202,Study was terminated due to inability of clinical site to enroll sufficient number of subjects,FALSE,NA
NCT04219618,The study was stopped because the manufacturer stopped producing the HeartWare LVAD device.,FALSE,NA
NCT04222426,Cessation of main trial of which this study was a biomarker imaging side study.,FALSE,NA
NCT04266873,Due to Covid-19 pandemic,TRUE,FALSE
NCT04319094,Study is in the process of being moved to another institution,FALSE,NA
NCT04343248,Study recruitment was halted prematurely as widespread vaccination of the study population made completion infeasible.,FALSE,NA
NCT04360551,Decrease in COVID-19 cases locally,FALSE,NA
NCT04368130,The anomaly detection system is still under development and is not ready to test.,FALSE,NA
NCT04390503,Enrollment challenges,FALSE,NA
NCT04434222,not enough study participants and missing compliance to perform analysis,FALSE,NA
NCT00852696,Investigator left Cleveland Clinic and absolutely no data is available.,FALSE,NA
NCT01027078,Due to insufficient grant funding,FALSE,NA
NCT01177540,The study was terminated early due to enrollment difficulties and the futility of observing differences in remission rate between treatment arms.,FALSE,NA
NCT01320280,unexpectedly slow recruitment,FALSE,NA
NCT01624285,Approval Lapse,FALSE,NA
NCT01872312,Not sure. PI is no longer at OSU.,FALSE,NA
NCT01909167,CI had other commitments,FALSE,NA
NCT02006251,Discretion of PI,FALSE,NA
NCT02035085,Drugs/devices discontinued,FALSE,NA
NCT02071875,Study recruitment was put on hold for interim data analysis and during this time period the PI requested to pre-maturely terminate the study,FALSE,NA
NCT02203773,Strategic considerations,FALSE,NA
NCT02335944,Company decision,FALSE,NA
NCT04828161,"Phase 2 completed as planned. Due to the evolving landscape of treatments for COVID-19, the placebo-controlled Phase 3 design will not proceed. No patients were actively participating at the time of termination.",FALSE,NA
NCT04849377,lack of eligible participants due to change in study criterias,FALSE,NA
NCT04891718,Termination by pharmaceutical sponsor,FALSE,NA
NCT04895410,Strategic considerations,FALSE,NA
NCT04910373,Product Availability Due to Recall,FALSE,NA
NCT04910919,competing study started with same participants,FALSE,NA
NCT04938323,Covid-19 related delays in project launch,TRUE,FALSE
NCT04951934,"There has been no unanimous approval by the investigators regarding the approval of the study protocol. Therefore, by mutual agreement, sponsor and investigators have taken the decision to withdraw the clinical study.",FALSE,NA
NCT05002114,there were issues with the primary study material that prohibited continuation at this time,FALSE,NA
