nctid,why_stopped,covid19_explicit,restart_expected
NCT00005664,NA,FALSE,NA
NCT00227617,Low accrual,FALSE,NA
NCT00341068,NA,FALSE,NA
NCT00437346,The project leader left our hospital and the project were shut down.,FALSE,NA
NCT01041027,"We had low accrual and given PORTEC3 results, the study is no longer valid.",FALSE,NA
NCT01083108,NA,FALSE,NA
NCT01367301,There was a lack of accrual,FALSE,NA
NCT01437605,Treatment Ineffective,FALSE,NA
NCT01470742,We stop because of problems such as insurance.,FALSE,NA
NCT01532804,too slow recruiting,FALSE,NA
NCT01641601,Inadequate enrollment. Key study personnel transitioned to a different role.,FALSE,NA
NCT01834235,DSMB terminated the trial for futility.,FALSE,NA
NCT01887691,NA,FALSE,NA
NCT01889992,PI left University and project not continued,FALSE,NA
NCT01895582,lack of recruitment of participants,FALSE,NA
NCT01950910,Measures are being taken to recruit a research scientist,FALSE,NA
NCT01954875,Study no longer funded,FALSE,NA
NCT01958580,Low accrual and PI left the institution,FALSE,NA
NCT02025543,"Protocol Modifications Approved, Equipment Pending",FALSE,NA
NCT02029768,Could not reach recruitment goal,FALSE,NA
NCT02061228,"Safety concerns, apparent futility and protracted recruitment",FALSE,NA
NCT02098915,Decision to prematurely close the trial was made because of poor recruitment.,FALSE,NA
NCT02112552,Low accrual,FALSE,NA
NCT02115048,Study was completed as per amended protocol. Protocol was amended to close enrollment earlier than initially planned (study continued as per plan).,FALSE,NA
NCT02115386,Study was terminated by Novartis,FALSE,NA
NCT02134197,NA,FALSE,NA
NCT02147964,No funding was obtained for this study.,FALSE,NA
NCT02170298,Lack of enrollment,FALSE,NA
NCT02257346,PI terminated study with no subjects enrolled.,FALSE,NA
NCT02272933,No Study Enrollment,FALSE,NA
NCT02282904,NA,FALSE,NA
NCT02328664,Interim analysis showed no added value of second look endoscopy,FALSE,NA
NCT02347280,Low accrual,FALSE,NA
NCT02383992,"Participants never enrolled, study never started.",FALSE,NA
NCT02407171,Study suspended to determine if enrollment is sufficient to meet endpoints.,FALSE,NA
NCT02415010,NA,FALSE,NA
NCT02418273,was not funded,FALSE,NA
NCT02465528,NA,FALSE,NA
NCT02465983,Lack of efficacy and funding to continue investigation,FALSE,NA
NCT02501707,The study is prematurely terminated due to bad inclusion and the fact that examinations are already being used in standard care.,FALSE,NA
NCT02515136,NA,FALSE,NA
NCT02530931,principal investigator is not present,FALSE,NA
NCT02532543,Difficulty in recruitment,FALSE,NA
NCT02557516,Sponsor decision,FALSE,NA
NCT02559960,NA,FALSE,NA
NCT02566889,Study was terminated due to the inability to enroll a sufficient number of the required subject population,FALSE,NA
NCT02573545,Difficulty recruiting patients,FALSE,NA
NCT02600663,insufficient recruitment,FALSE,NA
NCT02626169,Pharmaceutical company sponsor withdrew support prior to enrollment of subjects.,FALSE,NA
NCT02636283,Recruitment,FALSE,NA
NCT02637713,Low Accrual,FALSE,NA
NCT02664363,Study funding ended,FALSE,NA
NCT02689219,lack of funding/ benefit,FALSE,NA
NCT02691780,not enrolled,FALSE,NA
NCT02715804,Sponsor decision,FALSE,NA
NCT02733211,Finally it was decided not to initiate the study due to logistical issues,FALSE,NA
NCT02743208,problem due to new regulations for CE-marking of implants; lack of funding,FALSE,NA
NCT02760615,NA,FALSE,NA
NCT02790957,Safety reasons,FALSE,NA
NCT02795338,Project did not receive funding,FALSE,NA
NCT02826473,Insufficient enrollment of eligible patients,FALSE,NA
NCT02860000,full accrual met,FALSE,NA
NCT02882711,Increasing off-label practice of IV ketamine administration for treatment-resistant depression.,FALSE,NA
NCT02886663,Major inclusion difficulties,FALSE,NA
NCT02889042,not enough patients,FALSE,NA
NCT02894333,NA,FALSE,NA
NCT02895919,IRB expired,FALSE,NA
NCT02895958,Insufficient study participants enrolled,FALSE,NA
NCT02898909,Major inclusion difficulties,FALSE,NA
NCT02900794,No enrollment,FALSE,NA
NCT02906670,Business reasons,FALSE,NA
NCT02976558,"Due to organisational issues, the study had to be completed prematurely.",FALSE,NA
NCT02990273,IRB lapsed so we are in the process of resubmitting,FALSE,NA
NCT02994251,Study terminated due to low enrollment making it unlikely to meet recruitment goals.,FALSE,NA
NCT02996149,Technique no longer available,FALSE,NA
NCT03016260,NA,FALSE,NA
NCT03018067,Sponsor stopped program],FALSE,NA
NCT03033511,IDMC recommendation,FALSE,NA
NCT03036826,due to organisational changes,FALSE,NA
NCT03040765,failed to recruit eligible subjects,FALSE,NA
NCT03052894,Data collection issues from the electronic health record.,FALSE,NA
NCT03053960,Terminated by IRB,FALSE,NA
NCT03056378,No patients enrolled. Study withdrawn.,FALSE,NA
NCT03063333,Head of project stopped,FALSE,NA
NCT03065374,Study was stopped due to slow recruitment. All subjects completed their participation including follow up period per protocol. No safety issues.,FALSE,NA
NCT03075553,due to poor response,FALSE,NA
NCT03106415,DSMC Recommendation,FALSE,NA
NCT03109418,Recruitment challenges,FALSE,NA
NCT03114020,"Enrollment stopped as of Nov 18, 2019 due to slow enrollment.",FALSE,NA
NCT03119467,Study has been stopped after reviewing PK and safety results,FALSE,NA
NCT03119701,IDMC recommendation. Unexpectedly high use of concomitant corticosteroid treatment.,FALSE,NA
NCT03126903,KeraMed is being discontinued because it is no longer feasible due to the slow pace of recruitment and insufficient financial resources.,FALSE,NA
NCT03133117,not enough patients,FALSE,NA
NCT03222414,Changes in standard of care have altered the feasibility of the study.,FALSE,NA
NCT03249129,sponsor decision,FALSE,NA
NCT03258476,Contract terminated,FALSE,NA
NCT03269318,Change to Primary Endpoint resulted in development of new protocol,FALSE,NA
NCT03271229,Funding,FALSE,NA
NCT03285243,study does not meet criteria for clinical trial,FALSE,NA
NCT03301506,unexpected histological findings in a phase 2 study in NASH patients CB8025-21730,FALSE,NA
NCT03309696,Funding issues,FALSE,NA
NCT03323177,finally it was decided not to initiate the study due to logistical issues,FALSE,NA
NCT03352791,Due to operational changes at the participating agency.,FALSE,NA
NCT03382613,Operating Company decided to stop study due to strategic realignment and budgetary reasons,FALSE,NA
NCT03382886,PI decided to terminate due to low/slow accrual,FALSE,NA
NCT03387033,Study is on hold pending data analysis,FALSE,NA
NCT03397966,awaiting supply of study drug,FALSE,NA
NCT03423082,Limited subject enrollment,FALSE,NA
NCT03459755,investigator decision,FALSE,NA
NCT03463018,Recruitment error; Inclusion criteria not met,FALSE,NA
NCT03465891,Low accrual and lack of funding.,FALSE,NA
NCT03479424,Slow recruitment,FALSE,NA
NCT03488433,PI institutional transition prior to enrollment,FALSE,NA
NCT03496714,Decision made to develop different intervention,FALSE,NA
NCT03517735,Update of the technical documentation of the device,FALSE,NA
NCT03531710,"United Neuroscience has decided to terminate V203-AD-EXT study based on review of baseline data, and the treatment assignment error issue.",FALSE,NA
NCT03540875,Update of the technical documentation of the device,FALSE,NA
NCT03543475,competing trial on same population.,FALSE,NA
NCT03551522,unexpected histological findings,FALSE,NA
NCT03556501,Lack of enrollment numbers - participants are no longer being examined,FALSE,NA
NCT03597971,Sponsor decision,FALSE,NA
NCT03601507,IRB has put a temporary hold on this trial until the consent form is corrected and submitted for IRB approval.,FALSE,NA
NCT03602560,unexpected histological findings in a phase 2 study in NASH patients CB8025-21730,FALSE,NA
NCT03610932,Recruitment,FALSE,NA
NCT03627052,Study withdrawn due to lack of recruitment. No patients enrolled. No safety concerns.,FALSE,NA
NCT03658135,BIIB092 program discontinued,FALSE,NA
NCT03688464,Study never started,FALSE,NA
NCT03692338,Poor accrual,FALSE,NA
NCT03693391,stopped because of a business decision,FALSE,NA
NCT03716050,PI decision due to slow accrual,FALSE,NA
NCT03720080,Enough information was gathered in order to answer the primary research question,FALSE,NA
NCT03739814,Other - Request for Amendment,FALSE,NA
NCT03742804,Study sponsor sold and the new company would not support the study.,FALSE,NA
NCT03749382,The study is suspended due to time constraints,FALSE,NA
NCT03761303,No eligible patients could be recruited.,FALSE,NA
NCT03767439,Loss of funding,FALSE,NA
NCT03794570,Investigator separated from institution,FALSE,NA
NCT03800446,Lack of funding,FALSE,NA
NCT03805633,Person working on the trial left,FALSE,NA
NCT03814096,funding not secured,FALSE,NA
NCT03827473,"The trial was closed because the changing standard of care landscape, making this trial not impactful anymore.",FALSE,NA
NCT03851263,Admisnitrative issues,FALSE,NA
NCT03851276,Administrative issues,FALSE,NA
NCT03862872,Altered research priorities,FALSE,NA
NCT03869762,Insufficient accrual,FALSE,NA
NCT03879811,No accrual,FALSE,NA
NCT03897647,Administratively closed by the IRB,FALSE,NA
NCT03901547,Combination of no funding and time commitments on PI,FALSE,NA
NCT03912116,Personnel Changes,FALSE,NA
NCT03923361,Change in study design based on phase 1 data collection; patient burden was not feasible,FALSE,NA
NCT03936608,PI left Washington University,FALSE,NA
NCT03938077,"Unfortunately, the co-PI and lead community partner relocated out of the target area. Therefore, recruiting participants from the target area was not feasible.",FALSE,NA
NCT03942172,The study protocol needed to be modified,FALSE,NA
NCT03957122,The number of responders in the test sessions was too low.,FALSE,NA
NCT04007003,Sponsor decision,FALSE,NA
NCT04024813,unexpected histological findings in a phase 2 study in NASH patients CB8025-21730,FALSE,NA
NCT04040725,Withdrawn per Bayer,FALSE,NA
NCT04106076,The trial was discontinued due to sponsor's decision and not a consequence of any safety concern,FALSE,NA
NCT04149392,Changed to quality improvement project,FALSE,NA
NCT00001803,IRB approval lapsed and PI has not responded to requests to submit CR.,FALSE,NA
NCT00340548,lapse in IRB review,FALSE,NA
NCT00394602,Requested by PI during yearly Continuing Review,FALSE,NA
NCT00495716,Investigator relocated and study funding ended.,FALSE,NA
NCT00519272,Requested by PI during yearly Continuing Review,FALSE,NA
NCT00562601,Closed by the Sponsor/DSMB/IRB,FALSE,NA
NCT00616122,Risk to benefit ratio not acceptable,FALSE,NA
NCT00738998,Requested by PI,FALSE,NA
NCT00752206,The Data Safety Monitoring Board (DSMB) recommended study termination for slow accrual and futility.,FALSE,NA
NCT00759798,All patients have been taken off study.,FALSE,NA
NCT00899431,Terminated per PI's request at the time of continuing review,FALSE,NA
NCT00992693,NA,FALSE,NA
NCT01011777,Due to participants withdrawal prior to anticipated end of study.,FALSE,NA
NCT01059409,NA,FALSE,NA
NCT01107795,Participant attrition before final follow-up visit was greater than anticipated.,FALSE,NA
NCT01107990,PI time constraints,FALSE,NA
NCT01159119,NA,FALSE,NA
NCT01165658,Requested by PI during yearly Continuing Review,FALSE,NA
NCT01185366,NA,FALSE,NA
NCT01312246,NA,FALSE,NA
NCT01317030,Study was terminated due to a business decision to cancel the entire project.,FALSE,NA
NCT01340274,Could not get participants,FALSE,NA
NCT01380795,NA,FALSE,NA
NCT01381211,Interim Analysis ongoing,FALSE,NA
NCT01462240,Suspended pending internal review/direction of the company's focus.,FALSE,NA
NCT01485432,Low recruitment of patients.,FALSE,NA
NCT01520636,difficulty of inclusion,FALSE,NA
NCT01526928,NA,FALSE,NA
NCT01545648,Low Accrual,FALSE,NA
NCT01707823,Funding unavailable,FALSE,NA
NCT01741038,moved study to USA,FALSE,NA
NCT01817387,Due to participants not completing the cognitive training requirement.,FALSE,NA
NCT01826305,NA,FALSE,NA
NCT01846182,Terminated by Funder,FALSE,NA
