nctid,why_stopped,covid19_explicit,restart_expected
NCT05463393,We are waiting for the additional founds.,FALSE,NA
NCT05461638,No viable sites,FALSE,NA
NCT04796922,This study was withdrawn due to a business decision.,FALSE,NA
NCT04835701,Limited staffing support to continue screening and enrollment process,FALSE,NA
NCT04902651,stopped for futility,FALSE,NA
NCT05001451,"This was a business decision to discontinue this clinical trial. The decision is not related to the safety of the investigational product, GDX012.",FALSE,NA
NCT05266677,Foreseen high level of subject burden and non compliance in the clinical trial due to extensive product preparation and the nutritional concept for the improvement of RBC DHA is compromised by the change in the product formulation,FALSE,NA
NCT03088293,recruiting difficulties,FALSE,NA
NCT03119064,lack of response to study therapy,FALSE,NA
NCT03147040,At interim analysis insufficient benefit was observed to continu the study,FALSE,NA
NCT03263767,Security criteria (MTD),FALSE,NA
NCT03718156,COVID-19 prevented us from continuing this study which involves active participation from long-term care front-line staff. More funding is being sought to continue our trial,TRUE,FALSE
NCT03745898,Low feasibility of completion within the study period due to delayed site activation and slow participant accrual,FALSE,NA
NCT03821896,Ongoing COVID-19 restrictions and very low (in-person) clinical activity prevented participant recruitment.,TRUE,FALSE
NCT03918603,mid-term analysis,FALSE,NA
NCT03959592,Preliminary analysis showed no benefit of the investigational supplement.,FALSE,NA
NCT03988205,Low accrual,FALSE,NA
NCT04019613,Study was stopped due to funding and time constraints.,FALSE,NA
NCT04024566,Company changed strategic direction in Oct 2019 (staff changes; no one at company who participated in this study,FALSE,NA
NCT04026880,Lack of funds,FALSE,NA
NCT04032665,study design reconsidered,FALSE,NA
NCT04068402,Company changed strategic direction in Oct 2019,FALSE,NA
NCT04068805,The Sponsor chose to terminate this study for commercial reasons.,FALSE,NA
NCT04086121,Sponsor decision,FALSE,NA
NCT04134208,Slow accrual,FALSE,NA
NCT04225676,Study was terminated due to low enrollment,FALSE,NA
NCT04315246,Business priorities,FALSE,NA
NCT04436952,Change in Protocol,FALSE,NA
NCT04442581,Terminated due to slow accrual,FALSE,NA
NCT04515693,Due to COVID there were limitations is performing study activities and it was decided to terminate the study.,TRUE,FALSE
NCT04524715,Based upon feedback from IRB.,FALSE,NA
NCT04525573,Lost principal investigator. Have not picked up a new PI yet.,FALSE,NA
NCT04596033,Business reasons,FALSE,NA
NCT04670588,No accrual.,FALSE,NA
NCT02832531,Focus on recruitment for non-inferiority trial,FALSE,NA
NCT00464178,The study was closed early due to poor accrual,FALSE,NA
NCT00594334,Never started,FALSE,NA
NCT01773395,Recommendation by the Data and Safety Monitoring Board due to efficacy concerns,FALSE,NA
