nctid,why_stopped,covid19_explicit,restart_expected
NCT05505539,Principal Investigator no longer with university.,FALSE,NA
NCT05262842,The sponsor voluntarily terminated the study before it was initiated,FALSE,NA
NCT05268497,due to budget decision and wanting to pursue other research priorities,FALSE,NA
NCT05317013,Low enrollment,FALSE,NA
NCT05204667,The management of the pandemic by the Investigators was prioritized over the 'enrollment of patients.,TRUE,FALSE
NCT05139615,Business decision,FALSE,NA
NCT04483921,PI left Pennington,FALSE,NA
NCT04559178,too difficult to measure sublingual microcirculation continuously during a fluid challenge,FALSE,NA
NCT04598282,No patient enrollment,FALSE,NA
NCT04665583,Could not meet enrollment goal due to decrease in our target patient population (patients admitted for prehab).,FALSE,NA
NCT04697056,Administrative Reason,FALSE,NA
NCT04697069,Administrative Reason,FALSE,NA
NCT04742413,Recruitment was not completed,FALSE,NA
NCT04776044,general circumstances around COVID-19 and current availability of hospitalized patients,TRUE,FALSE
NCT04781088,Pending IRB amendment,FALSE,NA
NCT04795141,The sponsor's development strategy is adjusted.,FALSE,NA
NCT04816006,Study is moving to a different institution with PI.,FALSE,NA
NCT04818944,PI has left the Institution,FALSE,NA
NCT04860089,"This protocol was never initiated. Due to a change in funding, a new study will be registered in its place.",FALSE,NA
NCT04902599,Dr. Smart is leaving the instution.,FALSE,NA
NCT04991597,Shift in research focus,FALSE,NA
NCT05116618,Cancelled by Sponsor,FALSE,NA
NCT04080076,Study was updated and issued a new NCT number.,FALSE,NA
NCT04121546,Insufficient enrollment,FALSE,NA
NCT04124809,no fund for recruitment,FALSE,NA
NCT04127318,lack of resources,FALSE,NA
NCT04258969,lack of resources,FALSE,NA
NCT04274686,Intervention was not seen to be effective on interim analysis,FALSE,NA
NCT04279561,slow accrual,FALSE,NA
NCT04330079,Slow enrollment. (Difficulty in selecting subjects),FALSE,NA
NCT04372992,Low accrual - no restart after pandemic suspension,TRUE,FALSE
NCT04407390,No volunteers where recruited to this study. Other studies were prioritised over this at the time of enrollment.,FALSE,NA
NCT04418531,Organizative problems,FALSE,NA
NCT04421196,Currently does not have active IRB status.,FALSE,NA
NCT04425655,Original investigator for the trial has left,FALSE,NA
NCT04455412,recruitment is stopped waiting for funds,FALSE,NA
NCT04467879,New Protocol and Outcome Measures in Review,FALSE,NA
NCT04005989,Due to logistic issues during COVID-19 pandemic,TRUE,FALSE
NCT03918460,Study temporary on hold due to safety event,FALSE,NA
NCT01195064,NA,FALSE,NA
NCT01313702,NA,FALSE,NA
NCT01347177,NA,FALSE,NA
NCT01407562,NA,FALSE,NA
NCT01784601,Lack of human resources,FALSE,NA
NCT01801943,participants are no longer being examined or receiving intervention,FALSE,NA
NCT01851434,The original analyses could not be performed due to data inconsistencies across the study sites.,FALSE,NA
NCT01903473,slow recruitment,FALSE,NA
NCT01994174,Limited resources,FALSE,NA
NCT02077725,NA,FALSE,NA
NCT02087072,NA,FALSE,NA
NCT02241980,NA,FALSE,NA
NCT02388178,The study was stopped due to business reasons.,FALSE,NA
NCT02562443,Top line analysis indicated that the study had failed to achieve its primary endpoint.,FALSE,NA
NCT02564159,NA,FALSE,NA
NCT02608268,Business reasons,FALSE,NA
NCT02630498,It was not practical to continue recruiting due to lack of human resources,FALSE,NA
NCT02772081,Sponsor decision,FALSE,NA
NCT02778685,NA,FALSE,NA
NCT02875704,There was no significant difference in our outcome measures between patients with disease versus controls suggesting that our hypothesis is not substantiated. Since this was the major objective of the study we decided to terminate the study.,FALSE,NA
NCT02898259,Funding was eliminated.,FALSE,NA
NCT02913729,Lack of accrual,FALSE,NA
NCT02929160,NA,FALSE,NA
NCT03129776,Lack of participants,FALSE,NA
NCT03273153,This study was terminated due to benefit/risk analysis.,FALSE,NA
NCT03323866,Difficulty with recruitment,FALSE,NA
NCT03399838,Sponsor left the hospital,FALSE,NA
NCT03412630,poor accrual,FALSE,NA
NCT03417492,"Difficulty enrolling participants due to COVID emergency, and planned start of new study to address this question in a more rigorous fashion.",TRUE,FALSE
NCT03500939,Futility,FALSE,NA
NCT03516760,The actions and measures to be taken to restart the trial could not be implemented which made the premature termination inevitability.,FALSE,NA
NCT03524898,"As Last patient last visit (LPLV) took place on 15/02/2022, the trial was ended prematurely on this date in accordance with SAKK/CI.",FALSE,NA
NCT03564756,Difficulty with enrollment,FALSE,NA
NCT03569917,"143 patients have been recruited instead of 150 but the theoretical date of end of inclusions being reached, we have decided to not prolong again the study.",FALSE,NA
NCT03668106,no fund,FALSE,NA
NCT03683095,Insufficient resources,FALSE,NA
NCT03712787,Discontinued because of lack of efficacy in the parent study (Study M15-566; NCT02880956).,FALSE,NA
NCT03712826,No inclusion,FALSE,NA
NCT03749564,COVID-19 restrictions on research activities,TRUE,FALSE
NCT03756389,Re-formulation of study product,FALSE,NA
NCT03769467,"Phase 1B part was completed with review of DLTs and cumulative safety data by Safety Data Review Committee and identification of a safe RP2D. Post-internal review, sponsor decided to terminate the study, and hence, Phase 2 part was not conducted.",FALSE,NA
NCT03794037,no fund,FALSE,NA
NCT03829215,insolvency of the sponsor,FALSE,NA
NCT03902652,Study never commenced at trial site.,FALSE,NA
NCT03967288,Four patients required conversion to GETA (2 in each study arm),FALSE,NA
NCT04024046,Sponsor Decision,FALSE,NA
NCT04075552,Disruptions due to COVID-19,TRUE,FALSE
NCT04107961,The trial will be undertaken but the protocol will be substantially revised.,FALSE,NA
NCT04112342,THIS IS A DUPLICATE RECORD TO NCT03716193. PRS IS TO SUPPRESS THIS RECORD PER EMAIL CONVERSATION WITH PRS AND TARA RIDDLE (PRS ADMIN AT WVU) DATED 4/20/2022.,FALSE,NA
NCT04132388,Sponsor and site agreed the research would not happen now; several delays and other issues,FALSE,NA
NCT04185610,COVID-19 pandemic,TRUE,FALSE
NCT04190446,per study,FALSE,NA
NCT04242940,The sponsor decided to terminate the study prematurely given that patient enrollment was delayed by more than two years relative to what originally stated in the protocol.,FALSE,NA
NCT04244058,Given CoVid-19 pandemic we could not recruit subjects/patients for the 1st year. Currently waiting for new sponsor to fulfill the aims.,TRUE,FALSE
NCT04282174,Study was split into two new studies before the first participant was enrolled.,FALSE,NA
NCT04307992,Study temporary on hold due to safety event for the AneuFix product in a different study that could potentially also occur in this study.,FALSE,NA
NCT04322734,Suspended (Changing Clinical Sites),FALSE,NA
NCT04343495,PI left institution and study has not begun enrollment.,FALSE,NA
NCT04348552,The study was not implemented,FALSE,NA
NCT04357405,Study halted prematurely and will not resume; participants are no longer being examined or receiving intervention,FALSE,NA
NCT04369989,Review of data revealed poor correlation with hypothesis and data quality challenges.,FALSE,NA
NCT04420130,Failed to pass ethics committee review,FALSE,NA
NCT04453787,effected by the epidemic of COVID-19,TRUE,FALSE
