nctid,why_stopped,covid19_explicit,restart_expected
NCT05386823,The sponsor terminated the study for commercial reasons,FALSE,NA
NCT05381688,Covid prevented us from performing the study and the funding ran out,TRUE,FALSE
NCT05277363,"The study stopped early, before enrolling its first participant",FALSE,NA
NCT05292976,Business reasons,FALSE,NA
NCT05265156,High drop out rate,FALSE,NA
NCT05182047,Business decision.,FALSE,NA
NCT05191862,Randomization Error,FALSE,NA
NCT05041751,PI Left Institution,FALSE,NA
NCT05165771,Sponsor decision to withdraw study.,FALSE,NA
NCT05165849,sponsor decided to withdraw the study,FALSE,NA
NCT04985825,Business decision,FALSE,NA
NCT04996667,no sponsor support,FALSE,NA
NCT05007977,The study was completed following review of the assumptions underlying the power calculation and it was deemed that enough subjects had been recruited to complete enrollment,FALSE,NA
NCT04866069,"Although cellular responses to virus were satisfactory, neutralizing titres against virus were lower then expected levels",FALSE,NA
NCT04829331,Not interested in continuing,FALSE,NA
NCT04830527,The study was terminated early due to the difficulty in recruiting cases during a pandemic period.,TRUE,FALSE
NCT04831567,No participants enrolled,FALSE,NA
NCT04840199,Temporarily Closed (Paused) to Accrual,FALSE,NA
NCT04844086,CAR-T manufacturing technology can not meet the dose requirement for clinical patients.,FALSE,NA
NCT04761679,Evolution of the COVID19 pandemic with subsequent spread to all areas of clinical care severely affected the number of potential participants that were able to safely participate in the study.,FALSE,NA
NCT04767698,The funding source decided to stop funding the study.,FALSE,NA
NCT04750954,Drug Supply Issues,FALSE,NA
NCT04593628,The study aims changed based on the results of a earlier qualitative study.,FALSE,NA
NCT04624334,Money issues,FALSE,NA
NCT04650282,Reassignment of PI to more intense clinical obligations prevents continuation of the trial.,FALSE,NA
NCT04665739,Drug Supply Issues,FALSE,NA
NCT04689828,Novartis has temporarily suspended production of 177Lu-PSMA-617 per abundance of caution as result of potential quality issues in its manufacturing processes. Screening and enrollment for 177Lu-PSMA-617 clinical trials is being put on hold globally.,FALSE,NA
NCT04720157,Novartis has temporarily suspended production of 177Lu-PSMA-617 per abundance of caution as result of potential quality issues in its manufacturing processes. Screening and enrollment for 177Lu-PSMA-617 clinical trials is being put on hold globally.,FALSE,NA
NCT04727541,"Based on results of another phase II study with bintrafusp alfa in combination with gemcitabine plus cisplatin, that was discontinued as it was unlikely to meet the primary endpoint of OS, the recruitment for this study was stopped prematurely.",FALSE,NA
NCT04199910,COVID pandemia hinders recruitment,TRUE,FALSE
NCT04210037,Sponsor decision,FALSE,NA
NCT04329442,COVID-19 caused substantial barriers to recruitment.,TRUE,FALSE
