nctid,stop_date,stop_status,restart_date,restart_status,why_stopped
NCT05467761,NA,NA,NA,NA,NA
NCT05467709,NA,NA,NA,NA,NA
NCT05467696,NA,NA,NA,NA,NA
NCT05467670,NA,NA,NA,NA,NA
NCT05467644,NA,NA,NA,NA,NA
NCT05467631,NA,NA,NA,NA,NA
NCT05467618,NA,NA,NA,NA,NA
NCT05467605,NA,NA,NA,NA,NA
NCT05467592,NA,NA,NA,NA,NA
NCT05467579,NA,NA,NA,NA,NA
NCT05467566,NA,NA,NA,NA,NA
NCT05467553,NA,NA,NA,NA,NA
NCT05467540,NA,NA,NA,NA,NA
NCT05467527,NA,NA,NA,NA,NA
NCT05467514,NA,NA,NA,NA,NA
NCT05467501,NA,NA,NA,NA,NA
NCT05467488,NA,NA,NA,NA,NA
NCT05467449,NA,NA,NA,NA,NA
NCT05467436,NA,NA,NA,NA,NA
NCT05467384,NA,NA,NA,NA,NA
NCT05467371,NA,NA,NA,NA,NA
NCT05467358,NA,NA,NA,NA,NA
NCT05467345,NA,NA,NA,NA,NA
NCT05467319,NA,NA,NA,NA,NA
NCT05467306,NA,NA,NA,NA,NA
NCT05467293,NA,NA,NA,NA,NA
NCT05467280,NA,NA,NA,NA,NA
NCT05467267,NA,NA,NA,NA,NA
NCT05467254,NA,NA,NA,NA,NA
NCT05467241,NA,NA,NA,NA,NA
NCT05467228,NA,NA,NA,NA,NA
NCT05467202,NA,NA,NA,NA,NA
NCT05467189,NA,NA,NA,NA,NA
NCT05467150,NA,NA,NA,NA,NA
NCT05467137,NA,NA,NA,NA,NA
NCT05467098,NA,NA,NA,NA,NA
NCT05467072,NA,NA,NA,NA,NA
NCT05467059,NA,NA,NA,NA,NA
NCT05467007,NA,NA,NA,NA,NA
NCT05466981,NA,NA,NA,NA,NA
NCT05466968,NA,NA,NA,NA,NA
NCT05466955,NA,NA,NA,NA,NA
NCT05466942,NA,NA,NA,NA,NA
NCT05466903,NA,NA,NA,NA,NA
NCT05466877,NA,NA,NA,NA,NA
NCT05466864,NA,NA,NA,NA,NA
NCT05466851,NA,NA,NA,NA,NA
NCT05466838,NA,NA,NA,NA,NA
NCT05466825,NA,NA,NA,NA,NA
NCT05466812,NA,NA,NA,NA,NA
NCT05466799,NA,NA,NA,NA,NA
NCT05466786,NA,NA,NA,NA,NA
NCT05466773,NA,NA,NA,NA,NA
NCT05466760,NA,NA,NA,NA,NA
NCT05466721,NA,NA,NA,NA,NA
NCT05466708,NA,NA,NA,NA,NA
NCT05466695,NA,NA,NA,NA,NA
NCT05466682,NA,NA,NA,NA,NA
NCT05466669,NA,NA,NA,NA,NA
NCT05466630,NA,NA,NA,NA,NA
NCT05466617,NA,NA,NA,NA,NA
NCT05466604,NA,NA,NA,NA,NA
NCT05466578,NA,NA,NA,NA,NA
NCT05466565,NA,NA,NA,NA,NA
NCT05466552,NA,NA,NA,NA,NA
NCT05466539,NA,NA,NA,NA,NA
NCT05466487,NA,NA,NA,NA,NA
NCT05466448,NA,NA,NA,NA,NA
NCT05466435,NA,NA,NA,NA,NA
NCT05466396,NA,NA,NA,NA,NA
NCT05466383,NA,NA,NA,NA,NA
NCT05466357,NA,NA,NA,NA,NA
NCT05466331,NA,NA,NA,NA,NA
NCT05466279,NA,NA,NA,NA,NA
NCT05466266,NA,NA,NA,NA,NA
NCT05466253,NA,NA,NA,NA,NA
NCT05466240,NA,NA,NA,NA,NA
NCT05466227,NA,NA,NA,NA,NA
NCT05466214,NA,NA,NA,NA,NA
NCT05466201,NA,NA,NA,NA,NA
NCT05466162,NA,NA,NA,NA,NA
NCT05466149,NA,NA,NA,NA,NA
NCT05466136,NA,NA,NA,NA,NA
NCT05466123,NA,NA,NA,NA,NA
NCT05466110,NA,NA,NA,NA,NA
NCT05466071,NA,NA,NA,NA,NA
NCT05466045,NA,NA,NA,NA,NA
NCT05466019,NA,NA,NA,NA,NA
NCT05466006,NA,NA,NA,NA,NA
NCT05465993,NA,NA,NA,NA,NA
NCT05465980,NA,NA,NA,NA,NA
NCT05465954,NA,NA,NA,NA,NA
NCT05465915,NA,NA,NA,NA,NA
NCT05465902,NA,NA,NA,NA,NA
NCT05465876,NA,NA,NA,NA,NA
NCT05465863,NA,NA,NA,NA,NA
NCT05465850,NA,NA,NA,NA,NA
NCT05465837,NA,NA,NA,NA,NA
NCT05465824,NA,NA,NA,NA,NA
NCT05465798,NA,NA,NA,NA,NA
NCT05465785,NA,NA,NA,NA,NA
NCT05465772,NA,NA,NA,NA,NA
NCT05465759,NA,NA,NA,NA,NA
NCT05465746,NA,NA,NA,NA,NA
NCT05465733,NA,NA,NA,NA,NA
NCT05465720,NA,NA,NA,NA,NA
NCT05465707,NA,NA,NA,NA,NA
NCT05465694,NA,NA,NA,NA,NA
NCT05465668,NA,NA,NA,NA,NA
NCT05465655,NA,NA,NA,NA,NA
NCT05465577,NA,NA,NA,NA,NA
NCT05465551,NA,NA,NA,NA,NA
NCT05465525,NA,NA,NA,NA,NA
NCT05465512,NA,NA,NA,NA,NA
NCT05465499,NA,NA,NA,NA,NA
NCT05465486,NA,NA,NA,NA,NA
NCT05465473,NA,NA,NA,NA,NA
NCT05465460,NA,NA,NA,NA,NA
NCT05465447,NA,NA,NA,NA,NA
NCT05465434,NA,NA,NA,NA,NA
NCT05465395,NA,NA,NA,NA,NA
NCT05465369,NA,NA,NA,NA,NA
NCT05465356,NA,NA,NA,NA,NA
NCT05465343,NA,NA,NA,NA,NA
NCT05465330,NA,NA,NA,NA,NA
NCT05465304,NA,NA,NA,NA,NA
NCT05465278,NA,NA,NA,NA,NA
NCT05465252,NA,NA,NA,NA,NA
NCT05465187,NA,NA,NA,NA,NA
NCT05465161,NA,NA,NA,NA,NA
NCT05465135,NA,NA,NA,NA,NA
NCT05465083,NA,NA,NA,NA,NA
NCT05465070,NA,NA,NA,NA,NA
NCT05465057,NA,NA,NA,NA,NA
NCT05465031,NA,NA,NA,NA,NA
NCT05465005,NA,NA,NA,NA,NA
NCT05464992,NA,NA,NA,NA,NA
NCT05464979,NA,NA,NA,NA,NA
NCT05464966,NA,NA,NA,NA,NA
NCT05464953,NA,NA,NA,NA,NA
NCT05464927,NA,NA,NA,NA,NA
NCT05464901,NA,NA,NA,NA,NA
NCT05464888,NA,NA,NA,NA,NA
NCT05464875,NA,NA,NA,NA,NA
NCT05464862,NA,NA,NA,NA,NA
NCT05464849,NA,NA,NA,NA,NA
NCT05464836,NA,NA,NA,NA,NA
NCT05464823,NA,NA,NA,NA,NA
NCT05464797,NA,NA,NA,NA,NA
NCT05464745,NA,NA,NA,NA,NA
NCT05464719,NA,NA,NA,NA,NA
NCT05464680,NA,NA,NA,NA,NA
NCT05464667,NA,NA,NA,NA,NA
NCT05464654,NA,NA,NA,NA,NA
NCT05464641,NA,NA,NA,NA,NA
NCT05464615,NA,NA,NA,NA,NA
NCT05464602,NA,NA,NA,NA,NA
NCT05464589,NA,NA,NA,NA,NA
NCT05464563,NA,NA,NA,NA,NA
NCT05464550,NA,NA,NA,NA,NA
NCT05464537,NA,NA,NA,NA,NA
NCT05464524,NA,NA,NA,NA,NA
NCT05464511,NA,NA,NA,NA,NA
NCT05464485,NA,NA,NA,NA,NA
NCT05464472,NA,NA,NA,NA,NA
NCT05464459,NA,NA,NA,NA,NA
NCT05464446,NA,NA,NA,NA,NA
NCT05464433,NA,NA,NA,NA,NA
NCT05464407,NA,NA,NA,NA,NA
NCT05464394,NA,NA,NA,NA,NA
NCT05464381,NA,NA,NA,NA,NA
NCT05464368,NA,NA,NA,NA,NA
NCT05464355,NA,NA,NA,NA,NA
NCT05464342,NA,NA,NA,NA,NA
NCT05464329,NA,NA,NA,NA,NA
NCT05464316,NA,NA,NA,NA,NA
NCT05464303,NA,NA,NA,NA,NA
NCT05464290,NA,NA,NA,NA,NA
NCT05464264,NA,NA,NA,NA,NA
NCT05464212,NA,NA,NA,NA,NA
NCT05464199,NA,NA,NA,NA,NA
NCT05464160,NA,NA,NA,NA,NA
NCT05464147,NA,NA,NA,NA,NA
NCT05464134,NA,NA,NA,NA,NA
NCT05464121,NA,NA,NA,NA,NA
NCT05464108,NA,NA,NA,NA,NA
NCT05464095,NA,NA,NA,NA,NA
NCT05464082,NA,NA,NA,NA,NA
NCT05464056,NA,NA,NA,NA,NA
NCT05464004,NA,NA,NA,NA,NA
NCT05463991,NA,NA,NA,NA,NA
NCT05463926,NA,NA,NA,NA,NA
NCT05463913,NA,NA,NA,NA,NA
NCT05463861,NA,NA,NA,NA,NA
NCT05463848,NA,NA,NA,NA,NA
NCT05463835,NA,NA,NA,NA,NA
NCT05463822,NA,NA,NA,NA,NA
NCT05463809,NA,NA,NA,NA,NA
NCT05463796,NA,NA,NA,NA,NA
NCT05463783,NA,NA,NA,NA,NA
