nctid,stop_date,stop_status,restart_date,restart_status,why_stopped
NCT05335850,NA,NA,NA,NA,NA
NCT05335837,NA,NA,NA,NA,NA
NCT05335824,NA,NA,NA,NA,NA
NCT05335811,NA,NA,NA,NA,NA
NCT05335798,NA,NA,NA,NA,NA
NCT05335785,NA,NA,NA,NA,NA
NCT05335772,NA,NA,NA,NA,NA
NCT05335746,NA,NA,NA,NA,NA
NCT05335733,NA,NA,NA,NA,NA
NCT05335720,NA,NA,NA,NA,NA
NCT05335694,NA,NA,NA,NA,NA
NCT05335681,NA,NA,NA,NA,NA
NCT05335668,NA,NA,NA,NA,NA
NCT05335655,NA,NA,NA,NA,NA
NCT05335642,NA,NA,NA,NA,NA
NCT05335629,NA,NA,NA,NA,NA
NCT05335603,NA,NA,NA,NA,NA
NCT05335577,NA,NA,NA,NA,NA
NCT05335564,NA,NA,NA,NA,NA
NCT05335538,NA,NA,NA,NA,NA
NCT05335512,NA,NA,NA,NA,NA
NCT05335499,NA,NA,NA,NA,NA
NCT05335473,NA,NA,NA,NA,NA
NCT05335460,NA,NA,NA,NA,NA
NCT05335434,NA,NA,NA,NA,NA
NCT05335421,NA,NA,NA,NA,NA
NCT05335395,NA,NA,NA,NA,NA
NCT05335382,NA,NA,NA,NA,NA
NCT05335356,NA,NA,NA,NA,NA
NCT05335343,NA,NA,NA,NA,NA
NCT05335330,NA,NA,NA,NA,NA
NCT05335304,NA,NA,NA,NA,NA
NCT05335291,NA,NA,NA,NA,NA
NCT05335278,NA,NA,NA,NA,NA
NCT05335239,NA,NA,NA,NA,NA
NCT05335226,NA,NA,NA,NA,NA
NCT05335213,NA,NA,NA,NA,NA
NCT05335200,NA,NA,NA,NA,NA
NCT05335187,NA,NA,NA,NA,NA
NCT05335174,NA,NA,NA,NA,NA
NCT05335161,NA,NA,NA,NA,NA
NCT05335135,NA,NA,NA,NA,NA
NCT05335122,NA,NA,NA,NA,NA
NCT05335096,NA,NA,NA,NA,NA
NCT05335083,NA,NA,NA,NA,NA
NCT05335057,NA,NA,NA,NA,NA
NCT05335044,NA,NA,NA,NA,NA
NCT05335031,NA,NA,NA,NA,NA
NCT05335018,NA,NA,NA,NA,NA
NCT05334992,NA,NA,NA,NA,NA
NCT05334966,2022-04-13,Suspended,NA,NA,Replaced by clinical trial
NCT05334953,NA,NA,NA,NA,NA
NCT05334940,NA,NA,NA,NA,NA
NCT05334927,NA,NA,NA,NA,NA
NCT05334914,NA,NA,NA,NA,NA
NCT05334901,NA,NA,NA,NA,NA
NCT05334888,NA,NA,NA,NA,NA
NCT05334875,NA,NA,NA,NA,NA
NCT05334862,NA,NA,NA,NA,NA
NCT05334849,NA,NA,NA,NA,NA
NCT05334836,NA,NA,NA,NA,NA
NCT05334823,NA,NA,NA,NA,NA
NCT05334810,NA,NA,NA,NA,NA
NCT05334797,NA,NA,NA,NA,NA
NCT05334784,NA,NA,NA,NA,NA
NCT05334771,NA,NA,NA,NA,NA
NCT05334758,NA,NA,NA,NA,NA
NCT05334745,NA,NA,NA,NA,NA
NCT05334719,NA,NA,NA,NA,NA
NCT05334693,NA,NA,NA,NA,NA
NCT05334667,NA,NA,NA,NA,NA
NCT05334615,NA,NA,NA,NA,NA
NCT05334602,NA,NA,NA,NA,NA
NCT05334589,NA,NA,NA,NA,NA
NCT05334576,NA,NA,NA,NA,NA
NCT05334550,NA,NA,NA,NA,NA
NCT05334537,NA,NA,NA,NA,NA
NCT05334511,NA,NA,NA,NA,NA
NCT05334498,NA,NA,NA,NA,NA
NCT05334485,NA,NA,NA,NA,NA
NCT05334472,NA,NA,NA,NA,NA
NCT05334446,NA,NA,NA,NA,NA
NCT05334420,NA,NA,NA,NA,NA
NCT05334407,NA,NA,NA,NA,NA
NCT05334394,NA,NA,NA,NA,NA
NCT05334381,NA,NA,NA,NA,NA
NCT05334368,NA,NA,NA,NA,NA
NCT05334355,NA,NA,NA,NA,NA
NCT05334342,NA,NA,NA,NA,NA
NCT05334329,NA,NA,NA,NA,NA
NCT05334316,NA,NA,NA,NA,NA
NCT05334303,NA,NA,NA,NA,NA
NCT05334290,NA,NA,NA,NA,NA
NCT05334277,NA,NA,NA,NA,NA
NCT05334264,NA,NA,NA,NA,NA
NCT05334251,NA,NA,NA,NA,NA
NCT05334238,NA,NA,NA,NA,NA
NCT05334225,NA,NA,NA,NA,NA
NCT05334212,NA,NA,NA,NA,NA
NCT05334186,NA,NA,NA,NA,NA
NCT05334173,NA,NA,NA,NA,NA
