nctid,why_stopped,covid19_explicit,restart_expected
NCT05374265,Funding Unsuccessful,FALSE,NA
NCT04697485,Enrollment and funding challenges,FALSE,NA
NCT04756856,Significant change in the profile of recruitable patients,FALSE,NA
NCT04798235,Regulatory information being asked,FALSE,NA
NCT04813939,Enrollment was terminated because of the poor recruitment rate.,FALSE,NA
NCT04860258,The Principal Investigators and CureVac decided to terminate the trial early following a change to the risk/benefit profile.,FALSE,NA
NCT04860518,The decision is based on changes in the pandemic and further weakening of the recruitment that will not enable a completion of the study in any reasonable time,FALSE,NA
NCT04874805,since the departure of Dr. LEFRERE no investigator has decided to take over the project,FALSE,NA
NCT04880603,Investigators no longer interested in pursuing,FALSE,NA
NCT04892680,Study terminated prematurely due to operational futility.,FALSE,NA
NCT04901767,Study is currently paused to recruitment and will resume once pressures have eased.,FALSE,NA
NCT04970004,Sponsor decision to not proceed.,FALSE,NA
NCT04978324,Fellow graduated before successfully enrolling any participants,FALSE,NA
NCT05003102,"No enrollment, IRB closed",FALSE,NA
NCT05029245,No financial budget support,FALSE,NA
NCT05036408,Covid -19 control measure,TRUE,FALSE
NCT05039385,not enough sample was obtained,FALSE,NA
NCT05052554,No patients,FALSE,NA
NCT05104905,"Since no patients have been enrolled in RENACOL, and safety and tolerability data is rapidly accumulating in another ongoing study, sponsor considered that RENACOL study is no longer needed to assess the safety profile of bexmarilimab",FALSE,NA
NCT05164289,No patients included in the control group and inclusion rate too low.,FALSE,NA
NCT05166603,Inadequate recruitment,FALSE,NA
NCT05222984,Slow accrual,FALSE,NA
NCT05304494,Limited resources,FALSE,NA
NCT04663997,Due to global suspension of Lu-PSMA-617 production and delivery,FALSE,NA
NCT04638075,Study withdrawn due to COVID-19 public health crisis.,TRUE,FALSE
NCT04652362,Lead researcher off sick,FALSE,NA
NCT04613752,No more Covid patients in the service and number of patients included sufficient for stastistical analysis.,FALSE,NA
NCT04586179,Unable to enroll target number of participants.,FALSE,NA
NCT04368364,Study was stopped early due to a conflicting study in the same patient population at the study location.,FALSE,NA
NCT04390217,Company focused on other clinical programs,FALSE,NA
NCT04391907,"Due to the covid 19, patient recruiment is not going smoothly, so the study was canceled.",TRUE,FALSE
NCT04411082,"IMR-BTL-201demonstrated that while IMR-687 was generally well-tolerated, it failed to show any meaningful benefit in transfusion burden or improvement in most disease-related biomarkers. So, the sponsor has decided to discontinue this study",FALSE,NA
NCT04460495,insufficient accrual,FALSE,NA
NCT04474314,"A recently conducted Interim analysis of IMR-SCD-301 demonstrated that while IMR-687 was generally well-tolerated, it failed to meet its primary efficacy endpoint. So, the sponsor has decided to discontinue this study.",FALSE,NA
NCT04475315,Difficulty with recruitment,FALSE,NA
NCT04490486,Not Funded,FALSE,NA
NCT04510844,loss of funding,FALSE,NA
NCT04541875,Liquidation of sponsor,FALSE,NA
NCT04304833,Change in PI,FALSE,NA
NCT04334590,no enrollment,FALSE,NA
NCT04252612,Study is pending amendment,FALSE,NA
NCT04234568,Drug Supply Issues,FALSE,NA
NCT04248413,Too many obstacles starting study,FALSE,NA
NCT04158141,Temporary administrative closure,FALSE,NA
NCT04205734,COVID Restrictions,TRUE,FALSE
NCT04113252,Too difficult to see patients in required time intervals.,FALSE,NA
NCT03753750,Insufficient enrollment due to COVID-19 pandemic,TRUE,FALSE
NCT03763305,"Devices for measuring SKNA are need to be re-constructed, which takes considerable time.",FALSE,NA
NCT03794206,Company closure,FALSE,NA
NCT03843125,Study terminated due to insufficient evidence to support a positive benefit: risk ratio. Safety findings were consistent with previously published OLUMIANT data,FALSE,NA
NCT03914066,We could not continue the study and include participants because of the corona pandemic.,TRUE,FALSE
NCT03940677,end of funding support,FALSE,NA
NCT04003480,no patients have been enrolled. Study suspended due to change of sponsor priorities during COVID,TRUE,FALSE
