nctid,stop_date,stop_status,restart_date,restart_status,why_stopped
NCT05386940,NA,NA,NA,NA,NA
NCT05386927,NA,NA,NA,NA,NA
NCT05386914,NA,NA,NA,NA,NA
NCT05386875,NA,NA,NA,NA,NA
NCT05386862,NA,NA,NA,NA,NA
NCT05386836,NA,NA,NA,NA,NA
NCT05386823,2022-05-18,Terminated,NA,NA,The sponsor terminated the study for commercial reasons
NCT05386810,NA,NA,NA,NA,NA
NCT05386797,NA,NA,NA,NA,NA
NCT05386771,NA,NA,NA,NA,NA
NCT05386758,NA,NA,NA,NA,NA
NCT05386745,NA,NA,NA,NA,NA
NCT05386719,NA,NA,NA,NA,NA
NCT05386706,NA,NA,NA,NA,NA
NCT05386680,NA,NA,NA,NA,NA
NCT05386667,NA,NA,NA,NA,NA
NCT05386654,NA,NA,NA,NA,NA
NCT05386641,NA,NA,NA,NA,NA
NCT05386628,NA,NA,NA,NA,NA
NCT05386615,NA,NA,NA,NA,NA
NCT05386589,NA,NA,NA,NA,NA
NCT05386576,NA,NA,NA,NA,NA
NCT05386550,NA,NA,NA,NA,NA
NCT05386511,NA,NA,NA,NA,NA
NCT05386498,NA,NA,NA,NA,NA
NCT05386485,NA,NA,NA,NA,NA
NCT05386472,NA,NA,NA,NA,NA
NCT05386446,NA,NA,NA,NA,NA
NCT05386433,NA,NA,NA,NA,NA
NCT05386420,NA,NA,NA,NA,NA
NCT05386407,NA,NA,NA,NA,NA
NCT05386394,NA,NA,NA,NA,NA
NCT05386381,NA,NA,NA,NA,NA
NCT05386368,NA,NA,NA,NA,NA
NCT05386355,NA,NA,NA,NA,NA
NCT05386342,NA,NA,NA,NA,NA
NCT05386329,NA,NA,NA,NA,NA
NCT05386316,NA,NA,NA,NA,NA
NCT05386303,NA,NA,NA,NA,NA
NCT05386290,NA,NA,NA,NA,NA
NCT05386277,NA,NA,NA,NA,NA
NCT05386264,NA,NA,NA,NA,NA
NCT05386251,NA,NA,NA,NA,NA
NCT05386225,NA,NA,NA,NA,NA
NCT05386212,NA,NA,NA,NA,NA
NCT05386199,NA,NA,NA,NA,NA
NCT05386186,NA,NA,NA,NA,NA
NCT05386173,NA,NA,NA,NA,NA
NCT05386160,NA,NA,NA,NA,NA
NCT05386147,NA,NA,NA,NA,NA
NCT05386134,NA,NA,NA,NA,NA
NCT05386121,NA,NA,NA,NA,NA
NCT05386108,NA,NA,NA,NA,NA
NCT05386095,NA,NA,NA,NA,NA
NCT05386082,NA,NA,NA,NA,NA
NCT05386056,NA,NA,NA,NA,NA
NCT05386043,NA,NA,NA,NA,NA
NCT05386030,NA,NA,NA,NA,NA
NCT05386017,NA,NA,NA,NA,NA
NCT05386004,NA,NA,NA,NA,NA
NCT05385991,NA,NA,NA,NA,NA
NCT05385978,NA,NA,NA,NA,NA
NCT05385965,NA,NA,NA,NA,NA
NCT05385952,NA,NA,NA,NA,NA
NCT05385939,NA,NA,NA,NA,NA
NCT05385913,NA,NA,NA,NA,NA
NCT05385900,NA,NA,NA,NA,NA
NCT05385887,NA,NA,NA,NA,NA
NCT05385874,NA,NA,NA,NA,NA
NCT05385861,NA,NA,NA,NA,NA
NCT05385848,NA,NA,NA,NA,NA
NCT05385835,NA,NA,NA,NA,NA
NCT05385822,NA,NA,NA,NA,NA
NCT05385809,NA,NA,NA,NA,NA
NCT05385783,NA,NA,NA,NA,NA
NCT05385770,NA,NA,NA,NA,NA
NCT05385757,NA,NA,NA,NA,NA
