nctid,stop_date,stop_status,restart_date,restart_status,why_stopped
NCT05553847,NA,NA,NA,NA,NA
NCT05553834,NA,NA,NA,NA,NA
NCT05553821,NA,NA,NA,NA,NA
NCT05553808,NA,NA,NA,NA,NA
NCT05553795,NA,NA,NA,NA,NA
NCT05553782,NA,NA,NA,NA,NA
NCT05553769,NA,NA,NA,NA,NA
NCT05553756,NA,NA,NA,NA,NA
NCT05553743,NA,NA,NA,NA,NA
NCT05553717,NA,NA,NA,NA,NA
NCT05553665,NA,NA,NA,NA,NA
NCT05553652,NA,NA,NA,NA,NA
NCT05553626,NA,NA,NA,NA,NA
NCT05553600,NA,NA,NA,NA,NA
NCT05553587,NA,NA,NA,NA,NA
NCT05553574,NA,NA,NA,NA,NA
NCT05553548,NA,NA,NA,NA,NA
NCT05553535,NA,NA,NA,NA,NA
NCT05553509,NA,NA,NA,NA,NA
NCT05553496,NA,NA,NA,NA,NA
NCT05553483,NA,NA,NA,NA,NA
NCT05553444,NA,NA,NA,NA,NA
NCT05553431,NA,NA,NA,NA,NA
NCT05553418,NA,NA,NA,NA,NA
NCT05553379,NA,NA,NA,NA,NA
NCT05553353,NA,NA,NA,NA,NA
NCT05553340,NA,NA,NA,NA,NA
NCT05553327,NA,NA,NA,NA,NA
NCT05553210,NA,NA,NA,NA,NA
NCT05553197,NA,NA,NA,NA,NA
NCT05553184,NA,NA,NA,NA,NA
NCT05553171,NA,NA,NA,NA,NA
NCT05553158,NA,NA,NA,NA,NA
NCT05553119,NA,NA,NA,NA,NA
NCT05553093,NA,NA,NA,NA,NA
NCT05553041,NA,NA,NA,NA,NA
NCT05553028,NA,NA,NA,NA,NA
NCT05553015,NA,NA,NA,NA,NA
NCT05553002,NA,NA,NA,NA,NA
NCT05552937,NA,NA,NA,NA,NA
NCT05552898,NA,NA,NA,NA,NA
NCT05552885,NA,NA,NA,NA,NA
NCT05552872,NA,NA,NA,NA,NA
NCT05552846,NA,NA,NA,NA,NA
NCT05552820,NA,NA,NA,NA,NA
NCT05552807,NA,NA,NA,NA,NA
NCT05552794,NA,NA,NA,NA,NA
NCT05552781,NA,NA,NA,NA,NA
NCT05552768,NA,NA,NA,NA,NA
NCT05552742,NA,NA,NA,NA,NA
NCT05552729,NA,NA,NA,NA,NA
NCT05552716,NA,NA,NA,NA,NA
NCT05552703,NA,NA,NA,NA,NA
NCT05552677,NA,NA,NA,NA,NA
NCT05552651,NA,NA,NA,NA,NA
NCT05552625,NA,NA,NA,NA,NA
NCT05552612,NA,NA,NA,NA,NA
NCT05552586,NA,NA,NA,NA,NA
NCT05552547,NA,NA,NA,NA,NA
NCT05552521,NA,NA,NA,NA,NA
NCT05552495,NA,NA,NA,NA,NA
NCT05552456,NA,NA,NA,NA,NA
NCT05552443,NA,NA,NA,NA,NA
NCT05552378,NA,NA,NA,NA,NA
NCT05552365,NA,NA,NA,NA,NA
NCT05552352,NA,NA,NA,NA,NA
NCT05552313,NA,NA,NA,NA,NA
NCT05552300,NA,NA,NA,NA,NA
NCT05552287,NA,NA,NA,NA,NA
NCT05552274,NA,NA,NA,NA,NA
NCT05552248,NA,NA,NA,NA,NA
NCT05552235,NA,NA,NA,NA,NA
NCT05552209,NA,NA,NA,NA,NA
